name,l_deg,b_deg,radius_deg
4FGL J0102.4+0942 ,127.44475931339298,-53.06926560189063,0.4
4FGL J0102.6-5639 ,299.81889306877633,-60.4049839906768,0.4
4FGL J0102.7-2001 ,143.61548696221314,-82.44283139118276,0.4
4FGL J0102.8+5824 ,124.42447068524416,-4.429608873872587,0.4
4FGL J0102.8+4839 ,124.87597583098162,-14.169550321167046,0.4
4FGL J0102.9-7051 ,301.5676456864823,-46.23472856362952,0.4
4FGL J0103.1+4954 ,124.85800037082781,-12.91862431558676,0.4
4FGL J0103.5+1526 ,127.22827328906396,-47.33618019461566,0.4
4FGL J0103.5+5337 ,124.74528981849907,-9.203018135092039,0.4
4FGL J0103.8+1321 ,127.58430022959628,-49.40575829046114,0.4
4FGL J0104.6-0818 ,132.9890183669831,-70.92555524078162,0.4
4FGL J0104.8-2215 ,155.55507291566482,-84.25758423405726,0.4
4FGL J0104.8-2416 ,170.3849026831247,-85.84747235740642,0.4
4FGL J0105.1+3929 ,125.81475480429613,-23.29859726641408,0.4
4FGL J0105.5+1912 ,127.54138565495869,-43.53989722720506,0.4
4FGL J0105.9+3403 ,126.35582589085726,-28.710925527025324,0.4
4FGL J0106.1+1131 ,128.69733792404708,-51.178767027302584,0.4
4FGL J0106.4+4855 ,125.46872792475222,-13.870952264838573,0.4
4FGL J0106.9-4832 ,295.9386778488227,-68.38204332832282,0.4
4FGL J0107.3-1210 ,137.68134001896914,-74.59829698880426,0.4
4FGL J0107.4+0334 ,130.69784329970048,-59.06170524010128,0.4
4FGL J0107.4+0459 ,130.41641100310505,-57.6536776539357,0.4
4FGL J0107.6+4950 ,125.60881878178301,-12.946086735632363,0.4
4FGL J0108.1-0039 ,132.21763379576367,-63.22946269066373,0.4
4FGL J0108.6+0134 ,131.8437203680537,-60.99118785766536,0.4
4FGL J0109.1+1815 ,128.83229857201295,-44.40368565042372,0.4
4FGL J0109.3+2401 ,128.16501988751145,-38.66622697061813,0.4
4FGL J0109.7+6133 ,125.11432254188112,-1.232500868051742,0.4
4FGL J0110.0-5246 ,296.4807231548799,-64.11326161062401,0.4
4FGL J0110.0-4019 ,287.82681110097144,-76.259345434291,0.4
4FGL J0110.1+6805 ,124.68571461445599,5.289401923512001,0.4
4FGL J0110.2+4151 ,126.675736488786,-20.875984212131147,0.4
4FGL J0110.3-0431 ,135.02805149352554,-66.95398317024345,0.4
4FGL J0110.6+0415 ,132.0721160085291,-58.27698020086332,0.4
4FGL J0110.7-1254 ,141.53158812878635,-75.07676374719773,0.4
4FGL J0110.9+4344 ,126.6481181289906,-18.98373031491041,0.4
4FGL J0111.4-7304 ,300.9124706176996,-43.97790704366242,0.4
4FGL J0111.4+0534 ,132.07748177525627,-56.940238015779485,0.4
4FGL J0111.5-2546 ,197.3945437865547,-85.2928577828895,0.4
4FGL J0112.0+3442 ,127.72832217523167,-27.97699856260616,0.4
4FGL J0112.0-6634 ,299.7122483807489,-50.42372294220778,0.4
4FGL J0112.1+2245 ,129.14765269900857,-39.87053528867707,0.4
4FGL J0112.1-0321 ,135.5744466176269,-65.72532577620376,0.4
4FGL J0112.5-0651 ,137.7547087329731,-69.1192361347095,0.4
4FGL J0112.6-3158 ,260.6300358938394,-83.31226911084062,0.4
4FGL J0112.8-7506 ,301.0865030335191,-41.94914596290045,0.4
4FGL J0112.8-0253 ,135.76724727088967,-65.23391378280373,0.4
4FGL J0112.8+3208 ,128.2029408801131,-30.51218991923182,0.4
4FGL J0113.1-3553 ,276.4767931318967,-80.09173204382915,0.4
4FGL J0113.4+4948 ,126.57622066251402,-12.910364437009646,0.4
4FGL J0113.7+0225 ,134.10128483652963,-59.96823244526912,0.4
4FGL J0114.0+6418 ,125.38183265999629,1.539914211669536,0.4
4FGL J0114.8+1326 ,131.63398969855226,-49.04160505533249,0.4
4FGL J0114.9-3400 ,268.0324076382692,-81.46336346149802,0.4
4FGL J0115.1+2622 ,129.50574465299155,-36.19605799957082,0.4
4FGL J0115.1-0129 ,136.42502334815237,-63.74518624780332,0.4
4FGL J0115.4-2917 ,236.60428127849698,-84.288494359963,0.4
4FGL J0115.6-5653 ,296.3410031181317,-59.9223120982943,0.4
